Building,Building Type,Meter Type,Area,Month,Fiscal Year,Quarter,Start Date,End Date,Days,Water Usage (CCF),Water Cost ($),Estimated Water Usage (CCF)
Seaver Complex (Irrigation),Irrigation,Irrigation,,June,FY15,,,,,37,,
"Seaver House, President's House (Irrigation)",Irrigation,Irrigation,,July,FY15,,,,,215,,
"Seaver House, President's House (Irrigation)",Irrigation,Irrigation,,August,FY15,,,,,185,,
"Seaver House, President's House (Irrigation)",Irrigation,Irrigation,,September,FY15,,,,,231,,
"Seaver House, President's House (Irrigation)",Irrigation,Irrigation,,October,FY15,,,,,208,,
"Seaver House, President's House (Irrigation)",Irrigation,Irrigation,,November,FY15,,,,,168,,
"Seaver House, President's House (Irrigation)",Irrigation,Irrigation,,December,FY15,,,,,63,,
"Seaver House, President's House (Irrigation)",Irrigation,Irrigation,,January,FY15,,,,,46,,
"Seaver House, President's House (Irrigation)",Irrigation,Irrigation,,February,FY15,,,,,74,,
"Seaver House, President's House (Irrigation)",Irrigation,Irrigation,,March,FY15,,,,,99,,
"Seaver House, President's House (Irrigation)",Irrigation,Irrigation,,April,FY15,,,,,193,,
"Seaver House, President's House (Irrigation)",Irrigation,Irrigation,,May,FY15,,,,,107,,
"Seaver House, President's House (Irrigation)",Irrigation,Irrigation,,June,FY15,,,,,134,,
Seaver North,Science,Domestic,,July,FY15,,,,,"1,114",,
Seaver North,Science,Domestic,,August,FY15,,,,,"2,400",,
Seaver North,Science,Domestic,,September,FY15,,,,,"1,920",,
Seaver North,Science,Domestic,,October,FY15,,,,,"1,738",,
Seaver North,Science,Domestic,,November,FY15,,,,,"1,196",,
Seaver North,Science,Domestic,,December,FY15,,,,,398,,
Seaver North,Science,Domestic,,January,FY15,,,,,92,,
Seaver North,Science,Domestic,,February,FY15,,,,,180,,
Seaver North,Science,Domestic,,March,FY15,,,,,176,,
Seaver North,Science,Domestic,,April,FY15,,,,,376,,
Seaver North,Science,Domestic,,May,FY15,,,,,191,,
Seaver North,Science,Domestic,,June,FY15,,,,,330,,
Seaver North (Fire),Fire,Fire,,July,FY15,,,,, -   ,,
Seaver North (Fire),Fire,Fire,,August,FY15,,,,, -   ,,
Seaver North (Fire),Fire,Fire,,September,FY15,,,,, -   ,,
Seaver North (Fire),Fire,Fire,,October,FY15,,,,,1,,
Seaver North (Fire),Fire,Fire,,November,FY15,,,,, -   ,,
Seaver North (Fire),Fire,Fire,,December,FY15,,,,, -   ,,
Seaver North (Fire),Fire,Fire,,January,FY15,,,,,1,,
Seaver North (Fire),Fire,Fire,,February,FY15,,,,, -   ,,
Seaver North (Fire),Fire,Fire,,March,FY15,,,,, -   ,,
Seaver North (Fire),Fire,Fire,,April,FY15,,,,, -   ,,
Seaver North (Fire),Fire,Fire,,May,FY15,,,,,1,,
Seaver North (Fire),Fire,Fire,,June,FY15,,,,, -   ,,
Seaver South,Science,Domestic,,July,FY15,,,,,30,,
Seaver South,Science,Domestic,,August,FY15,,,,,22,,
Seaver South,Science,Domestic,,September,FY15,,,,,26,,
Seaver South,Science,Domestic,,October,FY15,,,,,30,,
Seaver South,Science,Domestic,,November,FY15,,,,,40,,
Seaver South,Science,Domestic,,December,FY15,,,,,22,,
Seaver South,Science,Domestic,,January,FY15,,,,,10,,
Seaver South,Science,Domestic,,February,FY15,,,,,13,,
Seaver South,Science,Domestic,,March,FY15,,,,,16,,
Seaver South,Science,Domestic,,April,FY15,,,,,17,,
Seaver South,Science,Domestic,,May,FY15,,,,,12,,
Seaver South,Science,Domestic,,June,FY15,,,,,8,,
Seeley Mudd,Academic,Domestic,,July,FY15,,,,,648,,
Seeley Mudd,Academic,Domestic,,August,FY15,,,,,769,,
Seeley Mudd,Academic,Domestic,,September,FY15,,,,,531,,
Seeley Mudd,Academic,Domestic,,October,FY15,,,,,307,,
Seeley Mudd,Academic,Domestic,,November,FY15,,,,,156,,
Seeley Mudd,Academic,Domestic,,December,FY15,,,,,113,,
Seeley Mudd,Academic,Domestic,,January,FY15,,,,,41,,
Seeley Mudd,Academic,Domestic,,February,FY15,,,,,121,,
Seeley Mudd,Academic,Domestic,,March,FY15,,,,,113,,
Seeley Mudd,Academic,Domestic,,April,FY15,,,,,81,,
Seeley Mudd,Academic,Domestic,,May,FY15,,,,,205,,
Seeley Mudd,Academic,Domestic,,June,FY15,,,,,110,,
Smiley,Residential,Domestic,,July,FY15,,,,,41,,
Smiley,Residential,Domestic,,August,FY15,,,,,28,,
Smiley,Residential,Domestic,,September,FY15,,,,,27,,
Smiley,Residential,Domestic,,October,FY15,,,,,79,,
Smiley,Residential,Domestic,,November,FY15,,,,,89,,
Smiley,Residential,Domestic,,December,FY15,,,,,29,,
Smiley,Residential,Domestic,,January,FY15,,,,,35,,
Smiley,Residential,Domestic,,February,FY15,,,,,76,,
Smiley,Residential,Domestic,,March,FY15,,,,,137,,
Smiley,Residential,Domestic,,April,FY15,,,,,124,,
Smiley,Residential,Domestic,,May,FY15,,,,,94,,
Smiley,Residential,Domestic,,June,FY15,,,,,75,,
Smith Campus Center (Fire),Fire,Fire,,July,FY15,,,,, -   ,,
Smith Campus Center (Fire),Fire,Fire,,August,FY15,,,,, -   ,,
Smith Campus Center (Fire),Fire,Fire,,September,FY15,,,,, -   ,,
Smith Campus Center (Fire),Fire,Fire,,October,FY15,,,,, -   ,,
Smith Campus Center (Fire),Fire,Fire,,November,FY15,,,,, -   ,,
Smith Campus Center (Fire),Fire,Fire,,December,FY15,,,,, -   ,,
Smith Campus Center (Fire),Fire,Fire,,January,FY15,,,,, -   ,,
Smith Campus Center (Fire),Fire,Fire,,February,FY15,,,,, -   ,,
Smith Campus Center (Fire),Fire,Fire,,March,FY15,,,,, -   ,,
Smith Campus Center (Fire),Fire,Fire,,April,FY15,,,,, -   ,,
Smith Campus Center (Fire),Fire,Fire,,May,FY15,,,,, -   ,,
Smith Campus Center (Fire),Fire,Fire,,June,FY15,,,,, -   ,,
Sontag,Residential,Domestic,,July,FY15,,,,,162,,
Sontag,Residential,Domestic,,August,FY15,,,,,94,,
Sontag,Residential,Domestic,,September,FY15,,,,,60,,
Sontag,Residential,Domestic,,October,FY15,,,,,96,,
Sontag,Residential,Domestic,,November,FY15,,,,,130,,
Sontag,Residential,Domestic,,December,FY15,,,,,26,,
Sontag,Residential,Domestic,,January,FY15,,,,,5,,
Sontag,Residential,Domestic,,February,FY15,,,,,11,,
Sontag,Residential,Domestic,,March,FY15,,,,,13,,
Sontag,Residential,Domestic,,April,FY15,,,,,13,,
Sontag,Residential,Domestic,,May,FY15,,,,,12,,
Sontag,Residential,Domestic,,June,FY15,,,,,7,,
Sontag (Fire),Fire,Fire,,July,FY15,,,,, -   ,,
Sontag (Fire),Fire,Fire,,August,FY15,,,,, -   ,,
Sontag (Fire),Fire,Fire,,September,FY15,,,,, -   ,,
Sontag (Fire),Fire,Fire,,October,FY15,,,,, -   ,,
Sontag (Fire),Fire,Fire,,November,FY15,,,,, -   ,,
Sontag (Fire),Fire,Fire,,December,FY15,,,,, -   ,,
Sontag (Fire),Fire,Fire,,January,FY15,,,,, -   ,,
Sontag (Fire),Fire,Fire,,February,FY15,,,,, -   ,,
Sontag (Fire),Fire,Fire,,March,FY15,,,,, -   ,,
Sontag (Fire),Fire,Fire,,April,FY15,,,,, -   ,,
Sontag (Fire),Fire,Fire,,May,FY15,,,,, -   ,,
Sontag (Fire),Fire,Fire,,June,FY15,,,,, -   ,,
South Campus (Fire),Fire,Fire,,July,FY15,,,,, -   ,,
South Campus (Fire),Fire,Fire,,August,FY15,,,,, -   ,,
South Campus (Fire),Fire,Fire,,September,FY15,,,,, -   ,,
South Campus (Fire),Fire,Fire,,October,FY15,,,,, -   ,,
South Campus (Fire),Fire,Fire,,November,FY15,,,,, -   ,,
South Campus (Fire),Fire,Fire,,December,FY15,,,,,1,,
South Campus (Fire),Fire,Fire,,January,FY15,,,,, -   ,,
South Campus (Fire),Fire,Fire,,February,FY15,,,,, -   ,,
South Campus (Fire),Fire,Fire,,March,FY15,,,,, -   ,,
South Campus (Fire),Fire,Fire,,April,FY15,,,,, -   ,,
South Campus (Fire),Fire,Fire,,May,FY15,,,,, -   ,,
South Campus (Fire),Fire,Fire,,June,FY15,,,,, -   ,,
South Campus Irrigation,Irrigation,Irrigation,,July,FY15,,,,,"2,964",,
South Campus Irrigation,Irrigation,Irrigation,,August,FY15,,,,,"2,358",,
South Campus Irrigation,Irrigation,Irrigation,,September,FY15,,,,,"3,704",,
South Campus Irrigation,Irrigation,Irrigation,,October,FY15,,,,,"2,390",,
South Campus Irrigation,Irrigation,Irrigation,,November,FY15,,,,,"2,668",,
South Campus Irrigation,Irrigation,Irrigation,,December,FY15,,,,,"1,556",,
South Campus Irrigation,Irrigation,Irrigation,,January,FY15,,,,,564,,
South Campus Irrigation,Irrigation,Irrigation,,February,FY15,,,,,705,,
South Campus Irrigation,Irrigation,Irrigation,,March,FY15,,,,,809,,
South Campus Irrigation,Irrigation,Irrigation,,April,FY15,,,,,"1,024",,
South Campus Irrigation,Irrigation,Irrigation,,May,FY15,,,,,"1,687",,
South Campus Irrigation,Irrigation,Irrigation,,June,FY15,,,,,"1,120",,
Athletics Drinking Fountain,Athletic & Recreation,Domestic,,July,FY15,,,,, -   ,,
Athletics Drinking Fountain,Athletic & Recreation,Domestic,,August,FY15,,,,, -   ,,
Athletics Drinking Fountain,Athletic & Recreation,Domestic,,September,FY15,,,,, -   ,,
Athletics Drinking Fountain,Athletic & Recreation,Domestic,,October,FY15,,,,, -   ,,
Athletics Drinking Fountain,Athletic & Recreation,Domestic,,November,FY15,,,,, -   ,,
Athletics Drinking Fountain,Athletic & Recreation,Domestic,,December,FY15,,,,, -   ,,
Athletics Drinking Fountain,Athletic & Recreation,Domestic,,January,FY15,,,,, -   ,,
Athletics Drinking Fountain,Athletic & Recreation,Domestic,,February,FY15,,,,, -   ,,
Athletics Drinking Fountain,Athletic & Recreation,Domestic,,March,FY15,,,,, -   ,,
Athletics Drinking Fountain,Athletic & Recreation,Domestic,,April,FY15,,,,, -   ,,
Athletics Drinking Fountain,Athletic & Recreation,Domestic,,May,FY15,,,,, -   ,,
Athletics Drinking Fountain,Athletic & Recreation,Domestic,,June,FY15,,,,, -   ,,
Sumner House,Administration,Domestic,,July,FY15,,,,,12,,
Sumner House,Administration,Domestic,,August,FY15,,,,,8,,
Sumner House,Administration,Domestic,,September,FY15,,,,,16,,
Sumner House,Administration,Domestic,,October,FY15,,,,,7,,
Sumner House,Administration,Domestic,,November,FY15,,,,,22,,
Sumner House,Administration,Domestic,,December,FY15,,,,,7,,
Sumner House,Administration,Domestic,,January,FY15,,,,,4,,
Sumner House,Administration,Domestic,,February,FY15,,,,,8,,
Sumner House,Administration,Domestic,,March,FY15,,,,,7,,
Sumner House,Administration,Domestic,,April,FY15,,,,,9,,
Sumner House,Administration,Domestic,,May,FY15,,,,,7,,
Sumner House,Administration,Domestic,,June,FY15,,,,,3,,
Walton Commons (Fire),Fire,Fire,,July,FY15,,,,, -   ,,
Walton Commons (Fire),Fire,Fire,,August,FY15,,,,, -   ,,
Walton Commons (Fire),Fire,Fire,,September,FY15,,,,, -   ,,
Walton Commons (Fire),Fire,Fire,,October,FY15,,,,, -   ,,
Walton Commons (Fire),Fire,Fire,,November,FY15,,,,, -   ,,
Walton Commons (Fire),Fire,Fire,,December,FY15,,,,, -   ,,
Walton Commons (Fire),Fire,Fire,,January,FY15,,,,, -   ,,
Walton Commons (Fire),Fire,Fire,,February,FY15,,,,, -   ,,
Walton Commons (Fire),Fire,Fire,,March,FY15,,,,, -   ,,
Walton Commons (Fire),Fire,Fire,,April,FY15,,,,, -   ,,
Walton Commons (Fire),Fire,Fire,,May,FY15,,,,, -   ,,
Walton Commons (Fire),Fire,Fire,,June,FY15,,,,, -   ,,
College Houses (Irrigation),Irrigation,Irrigation,,July,FY15,,,,,,,
College Houses (Irrigation),Irrigation,Irrigation,,August,FY15,,,,,,,
College Houses (Irrigation),Irrigation,Irrigation,,September,FY15,,,,,,,
College Houses (Irrigation),Irrigation,Irrigation,,October,FY15,,,,,,,
College Houses (Irrigation),Irrigation,Irrigation,,November,FY15,,,,,,,
College Houses (Irrigation),Irrigation,Irrigation,,December,FY15,,,,,,,
College Houses (Irrigation),Irrigation,Irrigation,,January,FY15,,,,,,,
College Houses (Irrigation),Irrigation,Irrigation,,February,FY15,,,,,,,
College Houses (Irrigation),Irrigation,Irrigation,,March,FY15,,,,,,,
College Houses (Irrigation),Irrigation,Irrigation,,April,FY15,,,,,,,
College Houses (Irrigation),Irrigation,Irrigation,,May,FY15,,,,,,,
College Houses (Irrigation),Irrigation,Irrigation,,June,FY15,,,,,,,
"Montgomery, Rembrandt (Fire)",Fire,Fire,,July,FY15,,,,, -   ,,
"Montgomery, Rembrandt (Fire)",Fire,Fire,,August,FY15,,,,, -   ,,
"Montgomery, Rembrandt (Fire)",Fire,Fire,,September,FY15,,,,, -   ,,
"Montgomery, Rembrandt (Fire)",Fire,Fire,,October,FY15,,,,, -   ,,
"Montgomery, Rembrandt (Fire)",Fire,Fire,,November,FY15,,,,, -   ,,
"Montgomery, Rembrandt (Fire)",Fire,Fire,,December,FY15,,,,, -   ,,
"Montgomery, Rembrandt (Fire)",Fire,Fire,,January,FY15,,,,, -   ,,
"Montgomery, Rembrandt (Fire)",Fire,Fire,,February,FY15,,,,, -   ,,
"Montgomery, Rembrandt (Fire)",Fire,Fire,,March,FY15,,,,, -   ,,
"Montgomery, Rembrandt (Fire)",Fire,Fire,,April,FY15,,,,, -   ,,
"Montgomery, Rembrandt (Fire)",Fire,Fire,,May,FY15,,,,, -   ,,
"Montgomery, Rembrandt (Fire)",Fire,Fire,,June,FY15,,,,, -   ,,
Montgomery Museum of Art,Venue,Domestic,,July,FY15,,,,,968,,
Montgomery Museum of Art,Venue,Domestic,,August,FY15,,,,,"1,224",,
Montgomery Museum of Art,Venue,Domestic,,September,FY15,,,,,196,,
Montgomery Museum of Art,Venue,Domestic,,October,FY15,,,,, -   ,,
Montgomery Museum of Art,Venue,Domestic,,November,FY15,,,,, -   ,,
Montgomery Museum of Art,Venue,Domestic,,December,FY15,,,,, -   ,,
Montgomery Museum of Art,Venue,Domestic,,January,FY15,,,,, -   ,,
Montgomery Museum of Art,Venue,Domestic,,February,FY15,,,,,2,,
Montgomery Museum of Art,Venue,Domestic,,March,FY15,,,,, -   ,,
Montgomery Museum of Art,Venue,Domestic,,April,FY15,,,,,56,,
Montgomery Museum of Art,Venue,Domestic,,May,FY15,,,,,343,,
Montgomery Museum of Art,Venue,Domestic,,June,FY15,,,,,152,,
Pauley Tennis Complex,Athletic & Recreation,Domestic,,July,FY15,,,,,10,,
Pauley Tennis Complex,Athletic & Recreation,Domestic,,August,FY15,,,,,8,,
Pauley Tennis Complex,Athletic & Recreation,Domestic,,September,FY15,,,,,10,,
Pauley Tennis Complex,Athletic & Recreation,Domestic,,October,FY15,,,,,14,,
Pauley Tennis Complex,Athletic & Recreation,Domestic,,November,FY15,,,,,11,,
Pauley Tennis Complex,Athletic & Recreation,Domestic,,December,FY15,,,,,7,,
Pauley Tennis Complex,Athletic & Recreation,Domestic,,January,FY15,,,,,6,,
Pauley Tennis Complex,Athletic & Recreation,Domestic,,February,FY15,,,,,9,,
Pauley Tennis Complex,Athletic & Recreation,Domestic,,March,FY15,,,,,103,,
Pauley Tennis Complex,Athletic & Recreation,Domestic,,April,FY15,,,,,27,,
Pauley Tennis Complex,Athletic & Recreation,Domestic,,May,FY15,,,,,11,,
Pauley Tennis Complex,Athletic & Recreation,Domestic,,June,FY15,,,,,8,,
Dialynas (Low Flow),Residential,Domestic,,July,FY15,,,,,38,,
Dialynas (Low Flow),Residential,Domestic,,August,FY15,,,,,33,,
Dialynas (Low Flow),Residential,Domestic,,September,FY15,,,,,40,,
Dialynas (Low Flow),Residential,Domestic,,October,FY15,,,,,44,,
Dialynas (Low Flow),Residential,Domestic,,November,FY15,,,,,24,,
Dialynas (Low Flow),Residential,Domestic,,December,FY15,,,,,126,,
Dialynas (Low Flow),Residential,Domestic,,January,FY15,,,,,53,,
Dialynas (Low Flow),Residential,Domestic,,February,FY15,,,,,113,,
Dialynas (Low Flow),Residential,Domestic,,March,FY15,,,,,126,,
Dialynas (Low Flow),Residential,Domestic,,April,FY15,,,,,136,,
Dialynas (Low Flow),Residential,Domestic,,May,FY15,,,,,129,,
Dialynas (Low Flow),Residential,Domestic,,June,FY15,,,,,107,,
Renwick House,Administration,Domestic,,July,FY15,,,,,5,,
Renwick House,Administration,Domestic,,August,FY15,,,,,12,,
Renwick House,Administration,Domestic,,September,FY15,,,,,3,,
Renwick House,Administration,Domestic,,October,FY15,,,,,8,,
Renwick House,Administration,Domestic,,November,FY15,,,,,6,,
Renwick House,Administration,Domestic,,December,FY15,,,,,4,,
Renwick House,Administration,Domestic,,January,FY15,,,,,3,,
Renwick House,Administration,Domestic,,February,FY15,,,,,4,,
Renwick House,Administration,Domestic,,March,FY15,,,,,3,,
Renwick House,Administration,Domestic,,April,FY15,,,,,3,,
Renwick House,Administration,Domestic,,May,FY15,,,,,3,,
Renwick House,Administration,Domestic,,June,FY15,,,,,2,,
Renwick House (Irrigation),Irrigation,Irrigation,,July,FY15,,,,,132,,
Renwick House (Irrigation),Irrigation,Irrigation,,August,FY15,,,,,99,,
Renwick House (Irrigation),Irrigation,Irrigation,,September,FY15,,,,,129,,
Renwick House (Irrigation),Irrigation,Irrigation,,October,FY15,,,,,121,,
Renwick House (Irrigation),Irrigation,Irrigation,,November,FY15,,,,,53,,
Renwick House (Irrigation),Irrigation,Irrigation,,December,FY15,,,,,17,,
Renwick House (Irrigation),Irrigation,Irrigation,,January,FY15,,,,,12,,
Renwick House (Irrigation),Irrigation,Irrigation,,February,FY15,,,,,23,,
Renwick House (Irrigation),Irrigation,Irrigation,,March,FY15,,,,,30,,
Renwick House (Irrigation),Irrigation,Irrigation,,April,FY15,,,,,70,,
Renwick House (Irrigation),Irrigation,Irrigation,,May,FY15,,,,,54,,
Renwick House (Irrigation),Irrigation,Irrigation,,June,FY15,,,,,48,,
Wig Cottages,Residential,Domestic,,July,FY15,,,,,71,,
Wig Cottages,Residential,Domestic,,August,FY15,,,,,60,,
Wig Cottages,Residential,Domestic,,September,FY15,,,,,86,,
Wig Cottages,Residential,Domestic,,October,FY15,,,,,79,,
Wig Cottages,Residential,Domestic,,November,FY15,,,,,56,,
Wig Cottages,Residential,Domestic,,December,FY15,,,,,25,,
Wig Cottages,Residential,Domestic,,January,FY15,,,,,20,,
Wig Cottages,Residential,Domestic,,February,FY15,,,,,29,,
Wig Cottages,Residential,Domestic,,March,FY15,,,,,38,,
Wig Cottages,Residential,Domestic,,April,FY15,,,,,67,,
Wig Cottages,Residential,Domestic,,May,FY15,,,,,45,,
Wig Cottages,Residential,Domestic,,June,FY15,,,,,39,,
710 House,Administration,Domestic,,July,FY16,,,,,,,
710 House,Administration,Domestic,,August,FY16,,,,,,,
710 House,Administration,Domestic,,September,FY16,,,,,,,
710 House,Administration,Domestic,,October,FY16,,,,,,,
710 House,Administration,Domestic,,November,FY16,,,,,,,
710 House,Administration,Domestic,,December,FY16,,,,,,,
710 House,Administration,Domestic,,January,FY16,,,,,,,
710 House,Administration,Domestic,,February,FY16,,,,,,,
710 House,Administration,Domestic,,March,FY16,,,,,,,
710 House,Administration,Domestic,,April,FY16,,,,,,,
710 House,Administration,Domestic,,May,FY16,,,,,,,
710 House,Administration,Domestic,,June,FY16,,,,,,,
738 House,Administration,Domestic,,July,FY16,,,,,,,
738 House,Administration,Domestic,,August,FY16,,,,,,,
738 House,Administration,Domestic,,September,FY16,,,,,,,
738 House,Administration,Domestic,,October,FY16,,,,,,,
738 House,Administration,Domestic,,November,FY16,,,,,,,
738 House,Administration,Domestic,,December,FY16,,,,,,,
738 House,Administration,Domestic,,January,FY16,,,,,,,
738 House,Administration,Domestic,,February,FY16,,,,,,,
738 House,Administration,Domestic,,March,FY16,,,,,,,
738 House,Administration,Domestic,,April,FY16,,,,,,,
738 House,Administration,Domestic,,May,FY16,,,,,,,
738 House,Administration,Domestic,,June,FY16,,,,,,,
740 House,Academic,Domestic,,July,FY16,,,,,,,
740 House,Academic,Domestic,,August,FY16,,,,,,,
740 House,Academic,Domestic,,September,FY16,,,,,,,
740 House,Academic,Domestic,,October,FY16,,,,,,,
740 House,Academic,Domestic,,November,FY16,,,,,,,
740 House,Academic,Domestic,,December,FY16,,,,,,,
740 House,Academic,Domestic,,January,FY16,,,,,,,
740 House,Academic,Domestic,,February,FY16,,,,,,,
740 House,Academic,Domestic,,March,FY16,,,,,,,
740 House,Academic,Domestic,,April,FY16,,,,,,,
740 House,Academic,Domestic,,May,FY16,,,,,,,
740 House,Academic,Domestic,,June,FY16,,,,,,,
Alexander,Administration,Domestic,,July,FY16,,,,,30,,
Alexander,Administration,Domestic,,August,FY16,,,,,23,,
Alexander,Administration,Domestic,,September,FY16,,,,,26,,
Alexander,Administration,Domestic,,October,FY16,,,,,26,,
Alexander,Administration,Domestic,,November,FY16,,,,,28,,
Alexander,Administration,Domestic,,December,FY16,,,,,21,,
Alexander,Administration,Domestic,,January,FY16,,,,,16,,
Alexander,Administration,Domestic,,February,FY16,,,,,25,,
Alexander,Administration,Domestic,,March,FY16,,,,,27,,
Alexander,Administration,Domestic,,April,FY16,,,,,28,,
Alexander,Administration,Domestic,,May,FY16,,,,,29,,
Alexander,Administration,Domestic,,June,FY16,,,,,25,,
Alexander (Fire),Fire,Fire,,July,FY16,,,,, -   ,,
Alexander (Fire),Fire,Fire,,August,FY16,,,,, -   ,,
Alexander (Fire),Fire,Fire,,September,FY16,,,,, -   ,,
Alexander (Fire),Fire,Fire,,October,FY16,,,,, -   ,,
Alexander (Fire),Fire,Fire,,November,FY16,,,,, -   ,,
Alexander (Fire),Fire,Fire,,December,FY16,,,,, -   ,,
Alexander (Fire),Fire,Fire,,January,FY16,,,,, -   ,,
Alexander (Fire),Fire,Fire,,February,FY16,,,,, -   ,,
Alexander (Fire),Fire,Fire,,March,FY16,,,,, -   ,,
Alexander (Fire),Fire,Fire,,April,FY16,,,,, -   ,,
Alexander (Fire),Fire,Fire,,May,FY16,,,,, -   ,,
Alexander (Fire),Fire,Fire,,June,FY16,,,,, -   ,,
Baldwin House,Administration,Domestic,,July,FY16,,,,, -   ,,
Baldwin House,Administration,Domestic,,August,FY16,,,,, -   ,,
Baldwin House,Administration,Domestic,,September,FY16,,,,, -   ,,
Baldwin House,Administration,Domestic,,October,FY16,,,,,1,,
Baldwin House,Administration,Domestic,,November,FY16,,,,, -   ,,
Baldwin House,Administration,Domestic,,December,FY16,,,,, -   ,,
Baldwin House,Administration,Domestic,,January,FY16,,,,, -   ,,
Baldwin House,Administration,Domestic,,February,FY16,,,,, -   ,,
Baldwin House,Administration,Domestic,,March,FY16,,,,,1,,
Baldwin House,Administration,Domestic,,April,FY16,,,,, -   ,,
Baldwin House,Administration,Domestic,,May,FY16,,,,, -   ,,
Baldwin House,Administration,Domestic,,June,FY16,,,,, -   ,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,July,FY16,,,,,125,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,August,FY16,,,,,97,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,September,FY16,,,,,128,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,October,FY16,,,,,88,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,November,FY16,,,,,104,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,December,FY16,,,,,50,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,January,FY16,,,,,15,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,February,FY16,,,,,31,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,March,FY16,,,,,47,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,April,FY16,,,,,64,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,May,FY16,,,,,118,,
"Baldwin, Cook, Sumner Houses (Irrigation)",Irrigation,Irrigation,,June,FY16,,,,,130,,
Benton Museum of Art,Venue,Domestic,,July,FY16,,,,,,,
Benton Museum of Art,Venue,Domestic,,August,FY16,,,,,,,
Benton Museum of Art,Venue,Domestic,,September,FY16,,,,,,,
Benton Museum of Art,Venue,Domestic,,October,FY16,,,,,,,
Benton Museum of Art,Venue,Domestic,,November,FY16,,,,,,,
Benton Museum of Art,Venue,Domestic,,December,FY16,,,,,,,
Benton Museum of Art,Venue,Domestic,,January,FY16,,,,,,,
Benton Museum of Art,Venue,Domestic,,February,FY16,,,,,,,
Benton Museum of Art,Venue,Domestic,,March,FY16,,,,,,,
Benton Museum of Art,Venue,Domestic,,April,FY16,,,,,,,
Benton Museum of Art,Venue,Domestic,,May,FY16,,,,,,,
Benton Museum of Art,Venue,Domestic,,June,FY16,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,July,FY16,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,August,FY16,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,September,FY16,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,October,FY16,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,November,FY16,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,December,FY16,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,January,FY16,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,February,FY16,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,March,FY16,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,April,FY16,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,May,FY16,,,,,,,
Benton Museum of Art (Fire),Fire,Fire,,June,FY16,,,,,,,
Campus Main North,Multi-Use,Domestic,,July,FY16,,,,,"2,020",,
Campus Main North,Multi-Use,Domestic,,August,FY16,,,,,"1,899",,
Campus Main North,Multi-Use,Domestic,,September,FY16,,,,,"2,735",,
Campus Main North,Multi-Use,Domestic,,October,FY16,,,,,"2,731",,
Campus Main North,Multi-Use,Domestic,,November,FY16,,,,,"2,762",,
Campus Main North,Multi-Use,Domestic,,December,FY16,,,,,"2,089",,
Campus Main North,Multi-Use,Domestic,,January,FY16,,,,,999,,
Campus Main North,Multi-Use,Domestic,,February,FY16,,,,,"2,143",,
Campus Main North,Multi-Use,Domestic,,March,FY16,,,,,"2,389",,
Campus Main North,Multi-Use,Domestic,,April,FY16,,,,,"2,423",,
Campus Main North,Multi-Use,Domestic,,May,FY16,,,,,"2,432",,
Campus Main North,Multi-Use,Domestic,,June,FY16,,,,,"2,110",,
Campus Main South,Academic,Domestic,,July,FY16,,,,,,,
Campus Main South,Academic,Domestic,,August,FY16,,,,,,,
Campus Main South,Academic,Domestic,,September,FY16,,,,,,,
Campus Main South,Academic,Domestic,,October,FY16,,,,,,,
Campus Main South,Academic,Domestic,,November,FY16,,,,,,,
Campus Main South,Academic,Domestic,,December,FY16,,,,,,,
Campus Main South,Academic,Domestic,,January,FY16,,,,,,,
Campus Main South,Academic,Domestic,,February,FY16,,,,,,,
Campus Main South,Academic,Domestic,,March,FY16,,,,,,,
Campus Main South,Academic,Domestic,,April,FY16,,,,,,,
Campus Main South,Academic,Domestic,,May,FY16,,,,,,,
Campus Main South,Academic,Domestic,,June,FY16,,,,,,,
Carnegie (Fire),Fire,Fire,,July,FY16,,,,, -   ,,
Carnegie (Fire),Fire,Fire,,August,FY16,,,,, -   ,,
